title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
$9.99,N/A,N/A,"$56,900",Regent Releasing,"December 12, 2008",Animation,1 hrs. 18 min.,R,N/A,"$708,354",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$upercapitalist,N/A,N/A,"$16,600",Truly Indie,"August 10, 2012",Thriller,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(500) Days of Summer,Marc Webb,N/A,"$35,233,100",Fox Searchlight,"July 17, 2009",Romance,1 hrs. 35 min.,PG-13,$7.5 million,"$60,722,734",Zooey Deschanel,Joseph Gordon-Levitt,Chloe Moretz,Clark Gregg,Minka Kelly*,N/A,Mason Novick,Mark S. Waters,N/A,N/A,N/A,N/A,Scott Neustadter,Michael H. Weber,Mychael Danna,Rob Simonsen
(Untitled),N/A,N/A,"$246,100",Samuel Goldwyn,"October 23, 2009",Comedy,1 hrs. 36 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
...And Justice for All,N/A,N/A,"$107,727,500",Columbia,"October 19, 1979",Drama,1 hrs. 59 min.,R,N/A,N/A,Craig T. Nelson*,Al Pacino,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Barry Levinson,N/A,N/A,N/A
1+1=11,N/A,N/A,"$178,400",Eros,"March 28, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"1,000 Times Good Night",N/A,N/A,"$54,200",Film Movement,"October 24, 2014",Foreign,1 hrs. 57 min.,Unrated,N/A,"$53,895",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,"$242,194,400",Warner Bros.,"October 5, 1979",Romantic Comedy,2 hrs. 1 min.,R,N/A,N/A,Julie Andrews,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Items or Less,Brad Silberling,N/A,"$103,300",ThinkFilm,"December 1, 2006",Comedy,1 hrs. 22 min.,R,N/A,"$1,399,222",Morgan Freeman,Jonah Hill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Questions for the Dalai Lama,N/A,N/A,"$265,000","Monterey Media, Inc.","April 27, 2007",Documentary,1 hrs. 29 min.,Unrated,N/A,"$484,487",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Things I Hate About You,N/A,N/A,"$61,024,900",Buena Vista,"March 31, 1999",Romantic Comedy,1 hrs. 37 min.,PG-13,$30 million,"$53,478,166",Julia Stiles,Heath Ledger,Joseph Gordon-Levitt,N/A,N/A,N/A,Jeffrey Chernov,Andrew Lazar,N/A,N/A,N/A,N/A,Karen McCullah Lutz,Kirsten Smith,N/A,N/A
10 to Midnight,N/A,N/A,"$18,497,100",MGM,"March 11, 1983",Unknown,1 hrs. 43 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Years,Jamie Linden,N/A,"$210,000",Anchor Bay Films,"September 14, 2012",Comedy / Drama,1 hrs. 40 min.,PG-13,N/A,"$203,373",Channing Tatum,Chris Pratt,Jenna Dewan-Tatum,Rosario Dawson,Justin Long,Aubrey Plaza,Marty Bowen,N/A,N/A,N/A,N/A,N/A,Jamie Linden,N/A,Chad Fischer,N/A
"10,000 B.C.",Roland Emmerich,N/A,"$107,193,300",Warner Bros.,"March 7, 2008",Period Adventure,1 hrs. 49 min.,PG-13,$105 million,"$269,784,201",N/A,N/A,N/A,N/A,N/A,N/A,Mark Gordon,Harald Kloser,Scott Mednick,Thomas Tull,N/A,N/A,Roland Emmerich,Harald Kloser,Harald Kloser,Thomas Wander
100 Bloody Acres,N/A,N/A,"$6,200",Doppelganger Releasing,"June 28, 2013",Horror Comedy,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 100-Year Old Man Who Climbed Out the Window and Disappeared,N/A,N/A,"$815,800",Music Box Films,"May 1, 2015",Foreign,1 hrs. 54 min.,R,N/A,"$51,001,769",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians,N/A,N/A,"$456,744,300",Disney,"January 25, 1961",Animation,1 hrs. 19 min.,G,N/A,"$215,880,014",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (1996),N/A,N/A,"$247,236,700",Buena Vista,"November 27, 1996",Family Comedy,1 hrs. 43 min.,G,N/A,"$320,689,294",Glenn Close,Hugh Laurie,N/A,N/A,N/A,N/A,John Hughes,N/A,N/A,N/A,N/A,N/A,John Hughes,N/A,Michael Kamen,N/A
101 Dalmatians (Re-issue) (1969),N/A,N/A,"$102,929,600",Disney,"January 1, 1969",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (Re-issue) (1979),N/A,N/A,"$61,466,100",Disney,"January 1, 1979",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (Re-issue) (1985),N/A,N/A,"$72,862,200",Buena Vista,"December 20, 1985",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Dalmatians (Re-issue) (1991),N/A,N/A,"$117,325,900",Buena Vista,"July 12, 1991",Animation,1 hrs. 19 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101 Reykjavik,N/A,N/A,"$176,700",Menemsha,"July 27, 2001",Unknown,1 hrs. 40 min.,Unrated,N/A,"$126,404",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102 Dalmatians,N/A,N/A,"$100,001,200",Buena Vista,"November 22, 2000",Family Comedy,1 hrs. 44 min.,G,$85 million,"$183,611,771",Glenn Close,Ioan Gruffudd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10th &amp; Wolf,N/A,N/A,"$67,800",ThinkFilm,"August 18, 2006",Crime Drama,1 hrs. 50 min.,R,$8 million,"$143,451",James Marsden,Giovanni Ribisi,Piper Perabo,Val Kilmer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Aaron Zigman,N/A
11 Flowers,N/A,N/A,"$9,300",First Run,"February 22, 2013",Foreign,1 hrs. 50 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11-11-11,Darren Lynn Bousman,N/A,"$34,000",Rocket Releasing,"November 11, 2011",Horror,1 hrs. 22 min.,PG-13,N/A,"$5,739,384",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Darren Lynn Bousman,N/A,N/A,N/A
The 11th Hour,N/A,N/A,"$834,800",Warner Independent,"August 17, 2007",Documentary,1 hrs. 33 min.,PG,N/A,"$985,207",Leonardo DiCaprio*,N/A,N/A,N/A,N/A,N/A,Leonardo DiCaprio,N/A,N/A,N/A,N/A,N/A,Leonardo DiCaprio,N/A,N/A,N/A
12,N/A,N/A,"$141,500",Sony Classics,"March 4, 2009",Foreign,2 hrs. 39 min.,PG-13,N/A,"$7,537,453",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12 Monkeys,Terry Gilliam,N/A,"$104,974,800",Universal,"December 29, 1995",Sci-Fi,2 hrs. 10 min.,R,N/A,"$168,839,459",Brad Pitt,Bruce Willis,N/A,N/A,N/A,N/A,Charles Roven,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12 O'Clock Boys,N/A,N/A,"$84,300",Oscilloscope Pictures,"January 31, 2014",Documentary,1 hrs. 16 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12 Rounds,Renny Harlin,N/A,"$13,836,400",Fox,"March 27, 2009",Action / Adventure,1 hrs. 48 min.,PG-13,N/A,"$17,280,326",John Cena,N/A,N/A,N/A,N/A,N/A,Mark Gordon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Trevor Rabin,N/A
12 Years a Slave,Steve McQueen (II),N/A,"$56,008,600",Fox Searchlight,"October 18, 2013",Drama,2 hrs. 13 min.,R,$20 million,"$187,733,202",Michael Fassbender,Brad Pitt,Benedict Cumberbatch,Paul Dano,Paul Giamatti,N/A,Dede Gardner,Jeremy Kleiner,Steve McQueen (II),Arnon Milchan,Brad Pitt,John Ridley,John Ridley,N/A,Hans Zimmer,N/A
127 Hours,Danny Boyle,N/A,"$18,587,000",Fox Searchlight,"November 5, 2010",Drama,1 hrs. 33 min.,R,$18 million,"$60,738,797",James Franco,N/A,N/A,N/A,N/A,N/A,Danny Boyle,N/A,N/A,N/A,N/A,N/A,Simon Beaufoy,Danny Boyle,A.R. Rahman,N/A
12:08 East of Bucharest,N/A,N/A,"$108,500",Tartan,"June 6, 2007",Foreign,1 hrs. 29 min.,Unrated,N/A,"$523,703",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13 Assassins,N/A,N/A,"$809,900",Magnolia,"April 29, 2011",Foreign,2 hrs. 6 min.,R,N/A,"$17,555,141",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13 Conversations About One Thing,N/A,N/A,"$4,595,500",Sony Classics,"May 24, 2002",Drama,1 hrs. 34 min.,R,N/A,"$3,706,652",Matthew McConaughey,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alex Wurman,N/A
13 Going on 30,Gary Winick,N/A,"$74,834,400",Sony (Revolution),"April 23, 2004",Fantasy Comedy,1 hrs. 37 min.,PG-13,$37 million,"$96,455,697",Jennifer Garner,Mark Ruffalo,N/A,N/A,N/A,N/A,Todd Garner,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Theodore Shapiro,N/A
13 Months of Sunshine,N/A,N/A,"$2,600",Unknown,"June 6, 2008",Drama,1 hrs. 38 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13 Sins,N/A,N/A,"$13,500",Radius-TWC,"April 18, 2014",Thriller,1 hrs. 32 min.,R,N/A,"$13,809",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13 Tzameti,N/A,N/A,"$150,500",Palm,"July 28, 2006",Foreign,1 hrs. 26 min.,Unrated,N/A,"$795,223",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13B,N/A,N/A,"$14,100",AdLabs,"March 6, 2009",Foreign,2 hrs. 26 min.,Unrated,N/A,"$2,494,521",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 13th Alley,N/A,N/A,"$283,900",Super Chief Films,"June 13, 2008",Horror,1 hrs. 23 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 13th Warrior,John McTiernan,N/A,"$52,266,700",Buena Vista,"August 27, 1999",Period Adventure,1 hrs. 42 min.,R,$160 million,"$61,698,899",Antonio Banderas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jerry Goldsmith,N/A
14 Blades,N/A,N/A,N/A,Radius-TWC,"August 22, 2014",Foreign / Action,1 hrs. 56 min.,R,N/A,"$3,786,517",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1408,Mikael Hafstrom,N/A,"$84,959,800",MGM (Weinstein),"June 22, 2007",Horror,1 hrs. 34 min.,PG-13,$25 million,"$131,998,242",John Cusack,Samuel L. Jackson,N/A,N/A,N/A,N/A,Lorenzo di Bonaventura,N/A,N/A,N/A,N/A,N/A,Matt Greenberg,Scott Alexander,Gabriel Yared,N/A
1492:<br/>Conquest of Paradise,Ridley Scott,N/A,"$14,070,900",Paramount,"October 9, 1992",Historical Drama,2 hrs. 28 min.,PG-13,$47 million,N/A,Sigourney Weaver,Frank Langella,N/A,N/A,N/A,N/A,Ridley Scott,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,N/A,N/A,"$3,800",Picture This!,"April 13, 2005",Foreign,1 hrs. 33 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15 Fevrier 1839,N/A,N/A,"$355,900",Chris.,"January 26, 2001",Unknown,1 hrs. 54 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15 Minutes,John Herzfeld,N/A,"$35,010,000",New Line,"March 9, 2001",Thriller,2 hrs. 0 min.,R,$60 million,"$56,359,980",Robert DeNiro,Kelsey Grammer,Vera Farmiga,Charlize Theron*,N/A,N/A,Nick Wechsler,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16 Blocks,Richard Donner,N/A,"$45,738,700",Warner Bros.,"March 3, 2006",Action Thriller,1 hrs. 45 min.,PG-13,N/A,"$65,664,721",Bruce Willis,N/A,N/A,N/A,N/A,N/A,Randall Emmett,George Furla,Jim Van Wyck,N/A,N/A,N/A,Richard Wenk,N/A,Klaus Badelt,N/A
16 Days of Glory,N/A,N/A,"$183,500",Paramount,"March 7, 1986",Documentary,2 hrs. 25 min.,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16 Years of Alcohol,N/A,N/A,"$10,200",Tartan,"March 15, 2005",Drama,1 hrs. 42 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17 Again,Burr Steers,N/A,"$72,567,800",Warner Bros. (New Line),"April 17, 2009",Fantasy Comedy,1 hrs. 42 min.,PG-13,N/A,"$136,267,476",Zac Efron,Leslie Mann,Matthew Perry,Michelle Trachtenberg,N/A,N/A,Jennifer Gibgot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rolfe Kent,N/A
17 Girls,N/A,N/A,"$15,800",Strand,"September 21, 2012",Foreign,1 hrs. 26 min.,Unrated,N/A,"$201,607",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18 Again,N/A,N/A,"$5,071,700",New World,"April 8, 1988",Fantasy Comedy,1 hrs. 40 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18 ans apres,N/A,N/A,"$34,500",TVA,"May 2, 2003",Unknown,1 hrs. 30 min.,Unrated,N/A,"$8,785,730",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
180 South,N/A,N/A,"$32,400",Magnolia,"May 21, 2010",Documentary,1 hrs. 25 min.,PG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
187,Kevin Reynolds,N/A,"$10,131,700",Warner Bros.,"August 1, 1997",Drama,1 hrs. 59 min.,R,N/A,N/A,Samuel L. Jackson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1911,Jackie Chan,N/A,"$138,800",Variance Films,"October 7, 2011",Foreign,N/A,R,N/A,"$135,739",Jackie Chan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1915,N/A,N/A,"$90,600",Bloodvine Media,"April 17, 2015",Drama,1 hrs. 18 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1941,Steven Spielberg,N/A,"$102,731,700",Universal,"December 14, 1979",Period Comedy,1 hrs. 58 min.,PG,$35 million,"$92,455,742",Mickey Rourke*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,John Williams,N/A
1969,N/A,N/A,"$11,812,600",Atlantic,"November 18, 1988",Unknown,1 hrs. 35 min.,R,N/A,N/A,"Robert Downey, Jr.",Kiefer Sutherland,Winona Ryder,N/A,N/A,N/A,Bill Badalato,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1984,Michael Radford,N/A,"$19,289,100",Samuel Goldwyn,"December 14, 1984",Unknown,1 hrs. 53 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1995 Bugs Bunny Film Festival,N/A,N/A,"$36,600",Warner Bros.,"May 5, 1995",Animation,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1998 Bugs Bunny Film Festival,N/A,N/A,"$715,200",Warner Bros.,"February 13, 1998",Animation,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2 Autumns, 3 Winters",N/A,N/A,"$5,700",Film Movement,"June 6, 2014",Foreign,1 hrs. 31 min.,Unrated,N/A,"$5,819",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2 Days in New York,Julie Delpy,N/A,"$659,500",Magnolia,"August 10, 2012",Comedy,1 hrs. 31 min.,R,N/A,"$1,653,792",Chris Rock,Julie Delpy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Julie Delpy,N/A,N/A,N/A
2 Days in Paris,Julie Delpy,N/A,"$5,233,200",Samuel Goldwyn,"August 10, 2007",Comedy / Drama,1 hrs. 34 min.,R,N/A,"$19,776,159",Julie Delpy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Julie Delpy,N/A,Julie Delpy,N/A
2 Days in the Valley,John Herzfeld,N/A,"$20,451,000",MGM,"September 27, 1996",Crime,1 hrs. 45 min.,R,N/A,N/A,Charlize Theron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2 Fast 2 Furious,John Singleton,N/A,"$171,226,800",Universal,"June 6, 2003",Action,1 hrs. 41 min.,PG-13,$76 million,"$236,350,661",Paul Walker,Tyrese Gibson,Eva Mendes,Chris 'Ludacris' Bridges,Michael Ealy*,N/A,Lee R. Mayes,Neal H. Moritz,N/A,N/A,N/A,N/A,N/A,N/A,David Arnold,N/A
2 Guns,Baltasar Kormakur,N/A,"$78,256,200",Universal,"August 2, 2013",Action Comedy,1 hrs. 49 min.,R,$61 million,"$131,940,411",Denzel Washington,Mark Wahlberg,Paula Patton,James Marsden,N/A,N/A,Randall Emmett,George Furla,Marc Platt,Steven Saxton,N/A,N/A,Blake Masters,N/A,Clinton Shorter,N/A
2 States,N/A,N/A,"$2,181,700",UTV Communications,"April 18, 2014",Foreign,2 hrs. 15 min.,Unrated,N/A,"$2,238,174",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 Centimeters,N/A,N/A,"$8,200",TLA Releasing,"October 27, 2006",Foreign,1 hrs. 53 min.,Unrated,N/A,"$428,635",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 Dates,N/A,N/A,"$865,800",Fox Searchlight,"February 26, 1999",Unknown,1 hrs. 27 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 Feet from Stardom,N/A,N/A,"$5,096,900",Radius-TWC,"June 14, 2013",Documentary,1 hrs. 30 min.,PG-13,N/A,"$4,946,445",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20 Once Again,N/A,N/A,"$234,600",CJ Entertainment,"January 16, 2015",Foreign,2 hrs. 11 min.,Unrated,N/A,"$234,573",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"20,000 Days on Earth",N/A,N/A,"$274,600",Drafthouse,"September 17, 2014",Documentary,1 hrs. 37 min.,Unrated,N/A,"$2,105,558",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200 Cartas,N/A,N/A,"$9,000",Vanguardia Films,"June 14, 2013",Romantic Comedy,1 hrs. 37 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200 Cigarettes,N/A,N/A,"$10,953,100",Paramount,"February 26, 1999",Comedy,1 hrs. 41 min.,R,$6 million,N/A,Paul Rudd,Ben Affleck,Kate Hudson,Casey Affleck,Christina Ricci,N/A,Tom Rosenberg,Richard Wright,N/A,N/A,N/A,N/A,N/A,N/A,Mark Mothersbaugh,N/A
2001:<br/>A Space Odyssey,N/A,N/A,"$351,548,700",MGM,"April 3, 1968",Sci-Fi Adventure,2 hrs. 19 min.,G,$12 million,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2001:<br/>A Space Odyssey (2013 re-release),N/A,N/A,"$219,500",Warner Bros.,"January 2, 2013",Sci-Fi Adventure,N/A,G,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2001:<br/>A Space Odyssey (Re-issue),N/A,N/A,"$343,800",Warner Bros.,"October 5, 2001",Unknown,2 hrs. 28 min.,G,N/A,"$60,149,641",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2005 Academy Award Nominated Short Films,N/A,N/A,"$195,100",Magnolia,"February 24, 2006",Unknown,2 hrs. 42 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The 2006 Academy Award Nominated Short Films,N/A,N/A,"$395,500",Magnolia,"February 16, 2007",Unknown,3 hrs. 9 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007 Academy Award Nominated Short Films,N/A,N/A,"$575,300",Magnolia,"February 15, 2008",Unknown,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2007 Academy Award Nominated Short Films,N/A,N/A,"$575,300",Magnolia,"February 15, 2008",Unknown,1 hrs. 30 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2009 Oscar Shorts,N/A,N/A,"$729,000",Shorts International,"February 6, 2009",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010,Peter Hyams,N/A,"$95,214,100",MGM,"December 7, 1984",Sci-Fi Adventure,1 hrs. 56 min.,PG,N/A,N/A,Helen Mirren,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2010 Oscar Shorts,N/A,N/A,"$1,039,900",Shorts International,"February 19, 2010",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2011 Oscar Shorts,N/A,N/A,"$1,396,700",Shorts International,"February 11, 2011",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012,Roland Emmerich,N/A,"$177,072,800",Sony / Columbia,"November 13, 2009",Action Drama,2 hrs. 38 min.,PG-13,$200 million,"$769,679,473",John Cusack,Woody Harrelson,Thandie Newton,Amanda Peet,Danny Glover,N/A,Larry J. Franco,Mark Gordon,Harald Kloser,N/A,N/A,N/A,N/A,N/A,Harald Kloser,Thomas Wander
2012 Oscar Nominated Short Films,N/A,N/A,"$1,765,500",Shorts International,"February 10, 2012",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2012:<br/>Time for Change,N/A,N/A,"$70,200",Mangusta Productions,"April 9, 2010",Documentary,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013 Oscar Nominated Short Films,N/A,N/A,"$2,161,000",Shorts International,"February 1, 2013",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014 Oscar Nominated Short Films,N/A,N/A,"$2,215,500",Shorts International,"January 31, 2014",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
