title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
As You Like It,Kenneth Branagh,N/A,N/A,Picturehouse,N/A,Period Comedy,N/A,PG,N/A,"$442,515",Kevin Kline,Alfred Molina,Romola Garai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asa Nu Maan Watan,N/A,N/A,"$307,400",Wild Rose,"May 14, 2004",Unknown,2 hrs. 59 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asambhav,N/A,N/A,"$25,500",Eros,"July 23, 2004",Foreign,2 hrs. 19 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ash Wednesday,N/A,N/A,"$4,100",Empire,"October 11, 2002",Unknown,1 hrs. 39 min.,Unrated,N/A,"$2,942",Elijah Wood,Rosario Dawson*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashes of Time Redux,Wong Kar Wai,N/A,"$197,100",Sony Classics,"October 10, 2008",Foreign / Action,1 hrs. 33 min.,R,N/A,"$1,912,490",N/A,N/A,N/A,N/A,N/A,N/A,Wong Kar Wai,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ask the Dust,N/A,N/A,"$922,100",Paramount Classics,"March 10, 2006",Romantic Thriller,1 hrs. 57 min.,R,N/A,"$2,460,057",Colin Farrell,N/A,N/A,N/A,N/A,N/A,Tom Cruise,Paula Wagner,N/A,N/A,N/A,N/A,N/A,N/A,Ramin Djawadi,Heitor Pereira
Asoka,N/A,N/A,"$1,049,100",First Look,"October 26, 2001",Foreign,2 hrs. 30 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aspen Extreme,N/A,N/A,"$15,771,300",Buena Vista,"January 22, 1993",Sports Comedy,1 hrs. 58 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Assassination,N/A,N/A,"$12,617,800",Cannon Films,"January 9, 1987",Unknown,1 hrs. 28 min.,PG-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Assassination of a High School President,N/A,N/A,N/A,Yari Film Group,N/A,Comedy,1 hrs. 30 min.,R,N/A,"$69,564",Bruce Willis,N/A,N/A,N/A,N/A,N/A,Doug Davison,Roy Lee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
